Original;Conceptos
godyou;
govt;government
whyits;
modestly;modest
moneywhatever;
stupid;stupefied,unintelligent,unintelligent,stupor,inanimate,fool,cloddish,gooselike,dense,weak,thick-skulled
inaudible;voiceless,quiet,quiet,imperceptible,hear,inaudibility,unsounded,unheard,ultrasonic,infrasonic,breathed
prospector;gold,mineral,explore
willingreturning;
juliette;
odds;ratio,even-money,happening,winnings,probabilities
harhar;
moreorless;
viii;eight,8
deadan;
thrive;boom,grow,vigorously,increase
arbitrarily;indiscriminately,arbitrary
wouldnt;
etcdanny;
larder;pantry,pantry
blatent;
fetts;
tovery;
particularly;peculiarly,in-particular,individually,great,uniquely
lonnrot;
provincial;peasant,narrow,illiberal,country-bumpkin,cosmopolitan,constituting,jerkwater,stay-at-home,corn-fed,parochial,unsophisticated
lonelinessand;
damian;damon,damien
rizzo;
clearsightedness;
cerdas;
steele;Sir-Richrd-Steele,alabama,kidder-county,missouri,county-seat,north-dakota
nuclear;nucleus,nucleotide,centre,nuclei,nuclear-power,central,thermonuclear
featurette;feature-film
crummy;chintzy,lousy,crumby,poor,crusty,bread,bad
legitimate;legalize,authorized,legal,valid,rule,law,rightful,morganatic,legal,established,valid
destitute;poverty-stricken,strip,impoverish,lacking,nonexistent
bed;layer,roll-in-the-hay,go-to-bed,sleeping,sleep,furniture,mattress,place
tomboy;behave,boyish,lesbian
agreement;accord,concord,settlement,entity,contradict,party,consent
muchit;
examplekirsten;
previewseriously;
anotherwellromantic;
electionsthats;
cluemasterthe;
format;form,file-type,erase,document,document
inclusion;inclusion-body,include,annex,precious-stone,defect
ever;ever-so,always,of-all-time,always,frequently,forever,always
patron;noble,padrone,store,support
garish;gimcrack,colourful,ostentatious,ostentatious,gaudy,showy
bislerian;
inspirational;inspire,book,inspiration,inspired,inspiring,sacred
bingley;market-town,england,west-yorkshire
vita;curriculum-vitae
li;51,lithium,zhang,kilometer,behaviour,county,chinese-mile
color;coloring-material,discolor,tinge,semblance,red,blue,green,rainbow,hue
receiver;liquidator,recipient,telephone-receiver,receive,transmitter-receiver
strategy;scheme,accomplish,goal,business,command,action,tactics
wellat;
bluechip;investment,blue-chip
timejurassic;
determine;decide,specify,settle,turn,decide,set,find-out
danner;
ally;ic,alexandra,confederacy,unite,sovereign
aroundthe;
momentsedgar;
heineken;heineken
guide;lead,template,usher,steer,scout,formation,action,ship,guidepost
speed;focal-ratio,rush,travel-rapidly,amphetamine,distance,succeed,speed-limit,quickness,film
carrieanne;
counterpart;opposite-number,equivalent,part,function,counterbalance,partner,complement
matchthe;
corral;cow-pen,kraal,circle,capture,livestock,inside
murder;assassinate,mangle,kick-ass,killing,deliberate,endure
hungry;athirst,fertile,desire,thirsty,barren,empty-bellied,peckish,supperless,sharp-set
morcecambe;
poetspeak;
drivel;drool,nonsense,saliva,drool,drip,nonsense
valid;legitimate,validate,reasonable,validation,premise,unexpired,well-grounded,effectual,binding,legitimate
paparazzo;paparazza,pursue,candid,media,photograph
relieve;exempt,remedy,unbosom,take-over,excuse,military,defecate,difficulty,release
copsandrobber;
beingsin;
application;lotion,entreaty,course,correspondence
rasuk;
introduce;bring-in,insert,precede,inaugurate,insert,meet,meeting,greeting,tell
client;customer,node,buyer,customer,computer,application,server,customer
adept;ace,proficient,skilled,proficient,apt
conrad;Teodor-Josef-Konrad-Korzeniowski,kurt,montana,grundy-county,indiana,usa
adroit;artful,dexterous,deft,ingenious,dexterous,nimble-fingered,quick-witted,co-ordinated
allits;
scriptsrus;
yuen;pileated-gibbon,crowned-gibbon,hylobates-pileatus
goofiness;goofy
parallel;twin,latitude,analogue,comparable,symmetrical,latitude,current,collateral,antiparallel,nonintersecting,synchronous
redundancy;dead-wood,redundant,repetition,message,component,transmission
anyoneamitabh;
government;politics,govern,legitimate,administration,chief,governor
detectivelike;detective
case;font,encase,character,event,brief,container,box,luggage,suit
fm;frequency-modulation,fermium,frequency
doubtlessly;indubitably
cloth;fabric,clothe,substance,woven,whole
andrea;
fandango;ball,flamenco,entity,violet
homeward;homewards,homeward-bound,oriented,towards,home
ongoing;on-going,in-progress,permanent,happening,continuing
beswicke;
jeu;
loggia;gallery
eisenstein;Sergei-Mikhailovich-Eisenstein
shootout;gunfight,multitable,penalty-shootout,last,gunfight,decisive
terrificly;
woodenly;ungracefully,animation,clumsily,wooden,dull,emotion
deepvoiced;
storyabout;
devise;invent,organize,will,property,clause,plan,device
unmistakable;apparent,unique,clear
sky;flip,blue,clouds,above,up,air
